Date,Land Class,Land Category,Commodity,Volume
04/01/2007,Federal,Offshore,Oil Prod Vol (bbl),42552221
05/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26882091
05/01/2007,Native American,Onshore,Oil Prod Vol (bbl),996696
05/01/2007,Federal,Onshore,Gas Prod Vol (mcf),308134334
05/01/2007,Native American,Onshore,Coal Prod Vol (tons),2393898
05/01/2007,Federal,Offshore,Oil Prod Vol (bbl),44237706
05/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8359449
05/01/2007,Federal,Onshore,Coal Prod Vol (tons),37471518
05/01/2007,Federal,Offshore,Gas Prod Vol (mcf),250599188
06/01/2007,Native American,Onshore,Gas Prod Vol (mcf),25918653
06/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41380216
06/01/2007,Federal,Offshore,Gas Prod Vol (mcf),237900922
06/01/2007,Native American,Onshore,Coal Prod Vol (tons),2062877
06/01/2007,Federal,Onshore,Gas Prod Vol (mcf),294671068
06/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8036687
06/01/2007,Federal,Onshore,Coal Prod Vol (tons),37208166
06/01/2007,Native American,Onshore,Oil Prod Vol (bbl),930993
07/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8262760
07/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26809333
07/01/2007,Native American,Onshore,Oil Prod Vol (bbl),942932
07/01/2007,Native American,Onshore,Coal Prod Vol (tons),2145313
07/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41550959
07/01/2007,Federal,Offshore,Gas Prod Vol (mcf),240337182
07/01/2007,Federal,Onshore,Gas Prod Vol (mcf),301423918
07/01/2007,Federal,Onshore,Coal Prod Vol (tons),38292421
08/01/2007,Native American,Onshore,Coal Prod Vol (tons),2290262
08/01/2007,Federal,Offshore,Gas Prod Vol (mcf),236149960
08/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41332258
08/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26661042
08/01/2007,Native American,Onshore,Oil Prod Vol (bbl),935269
08/01/2007,Federal,Onshore,Gas Prod Vol (mcf),303605930
08/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8422226
08/01/2007,Federal,Onshore,Coal Prod Vol (tons),40956218
09/01/2007,Federal,Offshore,Gas Prod Vol (mcf),228539727
09/01/2007,Federal,Onshore,Gas Prod Vol (mcf),293865800
09/01/2007,Federal,Onshore,Coal Prod Vol (tons),37509704
09/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8096628
09/01/2007,Native American,Onshore,Coal Prod Vol (tons),2062212
09/01/2007,Native American,Onshore,Oil Prod Vol (bbl),904342
09/01/2007,Native American,Onshore,Gas Prod Vol (mcf),25836957
09/01/2007,Federal,Offshore,Oil Prod Vol (bbl),37663181
10/01/2007,Native American,Onshore,Coal Prod Vol (tons),2308501
10/01/2007,Federal,Onshore,Coal Prod Vol (tons),40518721
10/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8394570
10/01/2007,Federal,Onshore,Gas Prod Vol (mcf),303889401
10/01/2007,Federal,Offshore,Gas Prod Vol (mcf),245625783
10/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41548911
10/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26575148
10/01/2007,Native American,Onshore,Oil Prod Vol (bbl),943164
11/01/2007,Native American,Onshore,Coal Prod Vol (tons),2217213
11/01/2007,Federal,Onshore,Coal Prod Vol (tons),41703492
11/01/2007,Federal,Onshore,Gas Prod Vol (mcf),309655285
11/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8185774
11/01/2007,Native American,Onshore,Oil Prod Vol (bbl),946546
11/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26095972
11/01/2007,Federal,Offshore,Gas Prod Vol (mcf),239176780
11/01/2007,Federal,Offshore,Oil Prod Vol (bbl),37765121
12/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8288134
12/01/2007,Federal,Onshore,Coal Prod Vol (tons),38589921
12/01/2007,Federal,Offshore,Gas Prod Vol (mcf),257942805
12/01/2007,Federal,Offshore,Oil Prod Vol (bbl),42133768
12/01/2007,Native American,Onshore,Gas Prod Vol (mcf),25240472
12/01/2007,Native American,Onshore,Oil Prod Vol (bbl),945023
12/01/2007,Native American,Onshore,Coal Prod Vol (tons),2131565
12/01/2007,Federal,Onshore,Gas Prod Vol (mcf),317051330
01/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8219346
01/01/2008,Federal,Onshore,Gas Prod Vol (mcf),312656223
01/01/2008,Federal,Offshore,Oil Prod Vol (bbl),42599202
01/01/2008,Federal,Offshore,Gas Prod Vol (mcf),248400297
01/01/2008,Native American,Onshore,Gas Prod Vol (mcf),24636739
01/01/2008,Native American,Onshore,Oil Prod Vol (bbl),949541
01/01/2008,Native American,Onshore,Coal Prod Vol (tons),2219944
01/01/2008,Federal,Onshore,Coal Prod Vol (tons),39826706
02/01/2008,Federal,Onshore,Oil Prod Vol (bbl),7770685
02/01/2008,Federal,Onshore,Coal Prod Vol (tons),39722690
02/01/2008,Federal,Onshore,Gas Prod Vol (mcf),295533788
02/01/2008,Native American,Onshore,Coal Prod Vol (tons),2110049
02/01/2008,Native American,Onshore,Oil Prod Vol (bbl),889473
02/01/2008,Native American,Onshore,Gas Prod Vol (mcf),23269233
02/01/2008,Federal,Offshore,Oil Prod Vol (bbl),40956063
02/01/2008,Federal,Offshore,Gas Prod Vol (mcf),235770383
03/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8444582
03/01/2008,Federal,Onshore,Coal Prod Vol (tons),40804536
03/01/2008,Federal,Offshore,Gas Prod Vol (mcf),247177565
03/01/2008,Federal,Onshore,Gas Prod Vol (mcf),330403651
03/01/2008,Native American,Onshore,Gas Prod Vol (mcf),25869494
03/01/2008,Federal,Offshore,Oil Prod Vol (bbl),42822573
03/01/2008,Native American,Onshore,Oil Prod Vol (bbl),978215
03/01/2008,Native American,Onshore,Coal Prod Vol (tons),2155616
04/01/2008,Federal,Onshore,Coal Prod Vol (tons),40910901
04/01/2008,Federal,Offshore,Gas Prod Vol (mcf),216495713
04/01/2008,Federal,Offshore,Oil Prod Vol (bbl),41467617
04/01/2008,Native American,Onshore,Coal Prod Vol (tons),1898899
04/01/2008,Native American,Onshore,Oil Prod Vol (bbl),969336
04/01/2008,Native American,Onshore,Gas Prod Vol (mcf),24926631
04/01/2008,Federal,Onshore,Gas Prod Vol (mcf),320369857
04/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8202328
05/01/2008,Federal,Offshore,Gas Prod Vol (mcf),215807069
05/01/2008,Federal,Offshore,Oil Prod Vol (bbl),42482211
05/01/2008,Federal,Onshore,Gas Prod Vol (mcf),328694068
05/01/2008,Native American,Onshore,Gas Prod Vol (mcf),25781675
05/01/2008,Native American,Onshore,Oil Prod Vol (bbl),988061
05/01/2008,Native American,Onshore,Coal Prod Vol (tons),1985025
05/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8414820
05/01/2008,Federal,Onshore,Coal Prod Vol (tons),39398953
06/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8120840
06/01/2008,Native American,Onshore,Oil Prod Vol (bbl),931556
06/01/2008,Native American,Onshore,Gas Prod Vol (mcf),24926195
06/01/2008,Federal,Offshore,Oil Prod Vol (bbl),42239694
06/01/2008,Federal,Offshore,Gas Prod Vol (mcf),227376555
06/01/2008,Federal,Onshore,Coal Prod Vol (tons),36648691
06/01/2008,Federal,Onshore,Gas Prod Vol (mcf),318556933
06/01/2008,Native American,Onshore,Coal Prod Vol (tons),2325913
07/01/2008,Native American,Onshore,Gas Prod Vol (mcf),26046380
07/01/2008,Federal,Onshore,Gas Prod Vol (mcf),333963099
07/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8373988
07/01/2008,Federal,Onshore,Coal Prod Vol (tons),39415274
07/01/2008,Native American,Onshore,Coal Prod Vol (tons),2640388
07/01/2008,Native American,Onshore,Oil Prod Vol (bbl),981950
07/01/2008,Federal,Offshore,Oil Prod Vol (bbl),44763309
07/01/2008,Federal,Offshore,Gas Prod Vol (mcf),238394832
08/01/2008,Federal,Onshore,Gas Prod Vol (mcf),333049276
08/01/2008,Federal,Offshore,Oil Prod Vol (bbl),41923938
08/01/2008,Federal,Offshore,Gas Prod Vol (mcf),219812954
08/01/2008,Native American,Onshore,Gas Prod Vol (mcf),25588124
08/01/2008,Native American,Onshore,Oil Prod Vol (bbl),995713
08/01/2008,Native American,Onshore,Coal Prod Vol (tons),2439253
08/01/2008,Federal,Onshore,Coal Prod Vol (tons),42988014
08/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8400459
09/01/2008,Federal,Offshore,Oil Prod Vol (bbl),9577187
09/01/2008,Federal,Offshore,Gas Prod Vol (mcf),69647740
09/01/2008,Native American,Onshore,Gas Prod Vol (mcf),24929051
09/01/2008,Native American,Onshore,Oil Prod Vol (bbl),982638
09/01/2008,Federal,Onshore,Gas Prod Vol (mcf),307724409
09/01/2008,Federal,Onshore,Oil Prod Vol (bbl),7986190
09/01/2008,Federal,Onshore,Coal Prod Vol (tons),40421871
09/01/2008,Native American,Onshore,Coal Prod Vol (tons),2387588
10/01/2008,Federal,Offshore,Gas Prod Vol (mcf),141790530
10/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8633945
10/01/2008,Native American,Onshore,Gas Prod Vol (mcf),25748822
10/01/2008,Native American,Onshore,Oil Prod Vol (bbl),1040707
10/01/2008,Native American,Onshore,Coal Prod Vol (tons),2511635
10/01/2008,Federal,Onshore,Gas Prod Vol (mcf),335796544
10/01/2008,Federal,Offshore,Oil Prod Vol (bbl),27181924
10/01/2008,Federal,Onshore,Coal Prod Vol (tons),45051206
11/01/2008,Federal,Onshore,Gas Prod Vol (mcf),333841437
11/01/2008,Federal,Offshore,Oil Prod Vol (bbl),34892543
11/01/2008,Federal,Offshore,Gas Prod Vol (mcf),165603446
11/01/2008,Federal,Onshore,Coal Prod Vol (tons),42442150
11/01/2008,Native American,Onshore,Gas Prod Vol (mcf),24890244
11/01/2008,Native American,Onshore,Oil Prod Vol (bbl),1006753
11/01/2008,Native American,Onshore,Coal Prod Vol (tons),2153188
11/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8512284
12/01/2008,Federal,Onshore,Coal Prod Vol (tons),39493994
12/01/2008,Native American,Onshore,Oil Prod Vol (bbl),1008112
12/01/2008,Native American,Onshore,Gas Prod Vol (mcf),24913698
12/01/2008,Federal,Offshore,Gas Prod Vol (mcf),182831320
12/01/2008,Federal,Offshore,Oil Prod Vol (bbl),39381348
12/01/2008,Federal,Onshore,Oil Prod Vol (bbl),8616384
12/01/2008,Federal,Onshore,Gas Prod Vol (mcf),339554583
12/01/2008,Native American,Onshore,Coal Prod Vol (tons),2125407
01/01/2009,Native American,Onshore,Oil Prod Vol (bbl),990923
01/01/2009,Native American,Onshore,Coal Prod Vol (tons),2052390
01/01/2009,Native American,Onshore,Gas Prod Vol (mcf),24813879
01/01/2009,Federal,Onshore,Coal Prod Vol (tons),40936177
01/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8742361
01/01/2009,Federal,Onshore,Gas Prod Vol (mcf),344856220
01/01/2009,Federal,Offshore,Oil Prod Vol (bbl),41968432
01/01/2009,Federal,Offshore,Gas Prod Vol (mcf),203532279
02/01/2009,Native American,Onshore,Gas Prod Vol (mcf),23261521
02/01/2009,Native American,Onshore,Oil Prod Vol (bbl),926999
02/01/2009,Native American,Onshore,Coal Prod Vol (tons),1804533
02/01/2009,Federal,Offshore,Oil Prod Vol (bbl),39008618
02/01/2009,Federal,Offshore,Gas Prod Vol (mcf),191727944
02/01/2009,Federal,Onshore,Gas Prod Vol (mcf),317370555
02/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8019714
02/01/2009,Federal,Onshore,Coal Prod Vol (tons),38145606
03/01/2009,Native American,Onshore,Oil Prod Vol (bbl),998723
03/01/2009,Federal,Onshore,Gas Prod Vol (mcf),348489574
03/01/2009,Native American,Onshore,Coal Prod Vol (tons),2147583
03/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8754663
03/01/2009,Federal,Onshore,Coal Prod Vol (tons),38238167
03/01/2009,Federal,Offshore,Oil Prod Vol (bbl),43423086
03/01/2009,Federal,Offshore,Gas Prod Vol (mcf),213188631
03/01/2009,Native American,Onshore,Gas Prod Vol (mcf),25594758
04/01/2009,Federal,Offshore,Oil Prod Vol (bbl),46005495
04/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8438208
04/01/2009,Federal,Offshore,Gas Prod Vol (mcf),207718687
04/01/2009,Federal,Onshore,Coal Prod Vol (tons),33485662
04/01/2009,Native American,Onshore,Gas Prod Vol (mcf),24527673
04/01/2009,Native American,Onshore,Oil Prod Vol (bbl),961496
04/01/2009,Native American,Onshore,Coal Prod Vol (tons),2319185
04/01/2009,Federal,Onshore,Gas Prod Vol (mcf),331689259
05/01/2009,Federal,Onshore,Coal Prod Vol (tons),35278770
05/01/2009,Federal,Offshore,Gas Prod Vol (mcf),211512189
05/01/2009,Federal,Offshore,Oil Prod Vol (bbl),50180149
05/01/2009,Native American,Onshore,Coal Prod Vol (tons),2234668
05/01/2009,Native American,Onshore,Oil Prod Vol (bbl),996655
05/01/2009,Native American,Onshore,Gas Prod Vol (mcf),25112977
05/01/2009,Federal,Onshore,Gas Prod Vol (mcf),338830453
05/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8678411
06/01/2009,Native American,Onshore,Oil Prod Vol (bbl),959008
06/01/2009,Native American,Onshore,Gas Prod Vol (mcf),23403521
06/01/2009,Federal,Offshore,Gas Prod Vol (mcf),217496774
06/01/2009,Federal,Offshore,Oil Prod Vol (bbl),48907994
06/01/2009,Federal,Onshore,Gas Prod Vol (mcf),324436142
06/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8386580
06/01/2009,Federal,Onshore,Coal Prod Vol (tons),32689883
06/01/2009,Native American,Onshore,Coal Prod Vol (tons),2309024
07/01/2009,Federal,Onshore,Coal Prod Vol (tons),38422436
07/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8499881
07/01/2009,Federal,Onshore,Gas Prod Vol (mcf),319848840
07/01/2009,Native American,Onshore,Coal Prod Vol (tons),2345725
07/01/2009,Federal,Offshore,Gas Prod Vol (mcf),230755180
07/01/2009,Federal,Offshore,Oil Prod Vol (bbl),55925639
07/01/2009,Native American,Onshore,Gas Prod Vol (mcf),25111389
07/01/2009,Native American,Onshore,Oil Prod Vol (bbl),987704
08/01/2009,Native American,Onshore,Oil Prod Vol (bbl),1005377
08/01/2009,Native American,Onshore,Coal Prod Vol (tons),2209028
08/01/2009,Federal,Offshore,Oil Prod Vol (bbl),55884224
08/01/2009,Federal,Onshore,Coal Prod Vol (tons),39778093
08/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8553580
08/01/2009,Federal,Onshore,Gas Prod Vol (mcf),331222316
08/01/2009,Federal,Offshore,Gas Prod Vol (mcf),217092121
08/01/2009,Native American,Onshore,Gas Prod Vol (mcf),25139330
09/01/2009,Federal,Onshore,Coal Prod Vol (tons),39392564
09/01/2009,Federal,Offshore,Oil Prod Vol (bbl),54473596
09/01/2009,Federal,Offshore,Gas Prod Vol (mcf),206471070
09/01/2009,Native American,Onshore,Coal Prod Vol (tons),2364021
09/01/2009,Native American,Onshore,Oil Prod Vol (bbl),1006924
09/01/2009,Native American,Onshore,Gas Prod Vol (mcf),23769586
09/01/2009,Federal,Onshore,Gas Prod Vol (mcf),309655044
09/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8357091
10/01/2009,Federal,Onshore,Gas Prod Vol (mcf),337869698
10/01/2009,Federal,Onshore,Coal Prod Vol (tons),38081263
10/01/2009,Federal,Offshore,Gas Prod Vol (mcf),215060894
10/01/2009,Federal,Offshore,Oil Prod Vol (bbl),55599927
10/01/2009,Native American,Onshore,Coal Prod Vol (tons),1966556
10/01/2009,Native American,Onshore,Oil Prod Vol (bbl),1091430
10/01/2009,Native American,Onshore,Gas Prod Vol (mcf),24518568
10/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8699247
11/01/2009,Native American,Onshore,Gas Prod Vol (mcf),23542856
11/01/2009,Federal,Offshore,Gas Prod Vol (mcf),200143475
11/01/2009,Federal,Offshore,Oil Prod Vol (bbl),48909581
11/01/2009,Federal,Onshore,Gas Prod Vol (mcf),333987100
11/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8581985
11/01/2009,Federal,Onshore,Coal Prod Vol (tons),37614021
11/01/2009,Native American,Onshore,Coal Prod Vol (tons),1840979
11/01/2009,Native American,Onshore,Oil Prod Vol (bbl),1035474
12/01/2009,Native American,Onshore,Coal Prod Vol (tons),1932698
12/01/2009,Federal,Onshore,Coal Prod Vol (tons),36374086
12/01/2009,Federal,Offshore,Oil Prod Vol (bbl),54068445
12/01/2009,Federal,Offshore,Gas Prod Vol (mcf),207337256
12/01/2009,Native American,Onshore,Oil Prod Vol (bbl),1033935
12/01/2009,Federal,Onshore,Gas Prod Vol (mcf),335529694
12/01/2009,Native American,Onshore,Gas Prod Vol (mcf),23293055
12/01/2009,Federal,Onshore,Oil Prod Vol (bbl),8648604
01/01/2010,Federal,Onshore,Oil Prod Vol (bbl),8663785
01/01/2010,Native American,Onshore,Coal Prod Vol (tons),1612890
01/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1033554
01/01/2010,Native American,Onshore,Gas Prod Vol (mcf),23519003
01/01/2010,Federal,Offshore,Gas Prod Vol (mcf),210355483
01/01/2010,Federal,Offshore,Oil Prod Vol (bbl),53333353
01/01/2010,Federal,Onshore,Gas Prod Vol (mcf),335536654
01/01/2010,Federal,Onshore,Coal Prod Vol (tons),37385870
02/01/2010,Native American,Onshore,Coal Prod Vol (tons),1892405
02/01/2010,Native American,Onshore,Gas Prod Vol (mcf),21544985
02/01/2010,Federal,Onshore,Gas Prod Vol (mcf),302941021
02/01/2010,Federal,Onshore,Oil Prod Vol (bbl),8035104
02/01/2010,Federal,Offshore,Oil Prod Vol (bbl),49713901
02/01/2010,Federal,Offshore,Gas Prod Vol (mcf),195164307
02/01/2010,Federal,Onshore,Coal Prod Vol (tons),36431297
02/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1008958
03/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9114912
03/01/2010,Native American,Onshore,Coal Prod Vol (tons),1743062
03/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1215428
03/01/2010,Native American,Onshore,Gas Prod Vol (mcf),24142447
03/01/2010,Federal,Offshore,Oil Prod Vol (bbl),51699886
03/01/2010,Federal,Offshore,Gas Prod Vol (mcf),217129273
03/01/2010,Federal,Onshore,Gas Prod Vol (mcf),336247104
03/01/2010,Federal,Onshore,Coal Prod Vol (tons),39182648
04/01/2010,Federal,Offshore,Oil Prod Vol (bbl),46376150
04/01/2010,Federal,Onshore,Oil Prod Vol (bbl),8718934
04/01/2010,Federal,Offshore,Gas Prod Vol (mcf),200962353
04/01/2010,Federal,Onshore,Coal Prod Vol (tons),37425071
04/01/2010,Native American,Onshore,Gas Prod Vol (mcf),23737653
04/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1220829
04/01/2010,Native American,Onshore,Coal Prod Vol (tons),1795669
04/01/2010,Federal,Onshore,Gas Prod Vol (mcf),327632224
05/01/2010,Native American,Onshore,Coal Prod Vol (tons),1742781
05/01/2010,Federal,Onshore,Gas Prod Vol (mcf),334610867
05/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9176686
05/01/2010,Federal,Onshore,Coal Prod Vol (tons),37144604
05/01/2010,Native American,Onshore,Gas Prod Vol (mcf),24980353
05/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1268191
05/01/2010,Federal,Offshore,Oil Prod Vol (bbl),49626771
05/01/2010,Federal,Offshore,Gas Prod Vol (mcf),199927130
06/01/2010,Federal,Offshore,Gas Prod Vol (mcf),185198425
06/01/2010,Federal,Offshore,Oil Prod Vol (bbl),48242226
06/01/2010,Native American,Onshore,Coal Prod Vol (tons),1582003
06/01/2010,Federal,Onshore,Gas Prod Vol (mcf),311064528
06/01/2010,Federal,Onshore,Coal Prod Vol (tons),36578041
06/01/2010,Federal,Onshore,Oil Prod Vol (bbl),8797887
06/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1326941
06/01/2010,Native American,Onshore,Gas Prod Vol (mcf),24314493
07/01/2010,Federal,Onshore,Gas Prod Vol (mcf),328564440
07/01/2010,Federal,Onshore,Coal Prod Vol (tons),38135193
07/01/2010,Native American,Onshore,Coal Prod Vol (tons),1609279
07/01/2010,Federal,Offshore,Gas Prod Vol (mcf),185063545
07/01/2010,Federal,Offshore,Oil Prod Vol (bbl),46378029
07/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9194375
07/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1435086
07/01/2010,Native American,Onshore,Gas Prod Vol (mcf),24872790
08/01/2010,Federal,Offshore,Oil Prod Vol (bbl),49994159
08/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9202516
08/01/2010,Federal,Onshore,Gas Prod Vol (mcf),330792363
08/01/2010,Native American,Onshore,Coal Prod Vol (tons),1735723
08/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1545484
08/01/2010,Native American,Onshore,Gas Prod Vol (mcf),25422895
08/01/2010,Federal,Offshore,Gas Prod Vol (mcf),194060192
08/01/2010,Federal,Onshore,Coal Prod Vol (tons),41050494
09/01/2010,Federal,Onshore,Oil Prod Vol (bbl),8919337
09/01/2010,Federal,Offshore,Gas Prod Vol (mcf),183318037
09/01/2010,Federal,Offshore,Oil Prod Vol (bbl),49461957
09/01/2010,Native American,Onshore,Coal Prod Vol (tons),2038643
09/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1550302
09/01/2010,Native American,Onshore,Gas Prod Vol (mcf),24880229
09/01/2010,Federal,Onshore,Gas Prod Vol (mcf),319676437
09/01/2010,Federal,Onshore,Coal Prod Vol (tons),40744704
10/01/2010,Native American,Onshore,Gas Prod Vol (mcf),26003792
10/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1641729
10/01/2010,Federal,Offshore,Oil Prod Vol (bbl),50405069
10/01/2010,Native American,Onshore,Coal Prod Vol (tons),1795394
10/01/2010,Federal,Offshore,Gas Prod Vol (mcf),188789221
10/01/2010,Federal,Onshore,Gas Prod Vol (mcf),328214019
10/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9320515
10/01/2010,Federal,Onshore,Coal Prod Vol (tons),40725641
11/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1588746
11/01/2010,Federal,Onshore,Gas Prod Vol (mcf),321858455
11/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9097111
11/01/2010,Federal,Onshore,Coal Prod Vol (tons),32529477
11/01/2010,Federal,Offshore,Oil Prod Vol (bbl),46255610
11/01/2010,Federal,Offshore,Gas Prod Vol (mcf),175276188
11/01/2010,Native American,Onshore,Gas Prod Vol (mcf),25341966
11/01/2010,Native American,Onshore,Coal Prod Vol (tons),1605752
12/01/2010,Federal,Offshore,Oil Prod Vol (bbl),48149278
12/01/2010,Native American,Onshore,Coal Prod Vol (tons),1832658
12/01/2010,Native American,Onshore,Oil Prod Vol (bbl),1626768
12/01/2010,Native American,Onshore,Gas Prod Vol (mcf),26101146
12/01/2010,Federal,Onshore,Coal Prod Vol (tons),39561231
12/01/2010,Federal,Onshore,Oil Prod Vol (bbl),9181850
12/01/2010,Federal,Onshore,Gas Prod Vol (mcf),332430984
12/01/2010,Federal,Offshore,Gas Prod Vol (mcf),186272950
01/01/2011,Federal,Offshore,Gas Prod Vol (mcf),185166665
01/01/2011,Native American,Onshore,Coal Prod Vol (tons),2253425
01/01/2011,Native American,Onshore,Oil Prod Vol (bbl),1636050
01/01/2011,Federal,Onshore,Gas Prod Vol (mcf),319209624
01/01/2011,Federal,Onshore,Coal Prod Vol (tons),39876734
01/01/2011,Federal,Offshore,Oil Prod Vol (bbl),50130916
01/01/2011,Native American,Onshore,Gas Prod Vol (mcf),24901161
01/01/2011,Federal,Onshore,Oil Prod Vol (bbl),9144170
02/01/2011,Federal,Onshore,Coal Prod Vol (tons),33558869
02/01/2011,Federal,Onshore,Gas Prod Vol (mcf),287723894
02/01/2011,Federal,Offshore,Oil Prod Vol (bbl),41096304
02/01/2011,Federal,Offshore,Gas Prod Vol (mcf),158410349
02/01/2011,Native American,Onshore,Gas Prod Vol (mcf),23117941
02/01/2011,Native American,Onshore,Oil Prod Vol (bbl),1508633
02/01/2011,Native American,Onshore,Coal Prod Vol (tons),1494323
02/01/2011,Federal,Onshore,Oil Prod Vol (bbl),8115675
03/01/2011,Native American,Onshore,Oil Prod Vol (bbl),1743716
03/01/2011,Native American,Onshore,Gas Prod Vol (mcf),26358970
03/01/2011,Federal,Offshore,Oil Prod Vol (bbl),44883969
03/01/2011,Federal,Onshore,Gas Prod Vol (mcf),325385854
03/01/2011,Federal,Offshore,Gas Prod Vol (mcf),175490368
03/01/2011,Federal,Onshore,Oil Prod Vol (bbl),9490536
03/01/2011,Federal,Onshore,Coal Prod Vol (tons),40399121
03/01/2011,Native American,Onshore,Coal Prod Vol (tons),1772654
04/01/2011,Federal,Offshore,Gas Prod Vol (mcf),167501234
04/01/2011,Native American,Onshore,Gas Prod Vol (mcf),24718820
04/01/2011,Native American,Onshore,Oil Prod Vol (bbl),1766478
04/01/2011,Native American,Onshore,Coal Prod Vol (tons),1684420
04/01/2011,Federal,Onshore,Coal Prod Vol (tons),37740772
04/01/2011,Federal,Onshore,Oil Prod Vol (bbl),9321201
04/01/2011,Federal,Onshore,Gas Prod Vol (mcf),318429060
04/01/2011,Federal,Offshore,Oil Prod Vol (bbl),42220361
05/01/2011,Native American,Onshore,Coal Prod Vol (tons),1936675
05/01/2011,Native American,Onshore,Oil Prod Vol (bbl),1887275
05/01/2011,Federal,Offshore,Oil Prod Vol (bbl),44363216
05/01/2011,Federal,Offshore,Gas Prod Vol (mcf),169623700
05/01/2011,Federal,Onshore,Oil Prod Vol (bbl),9684120
05/01/2011,Native American,Onshore,Gas Prod Vol (mcf),25628238
05/01/2011,Federal,Onshore,Gas Prod Vol (mcf),328055048
05/01/2011,Federal,Onshore,Coal Prod Vol (tons),36119047
06/01/2011,Federal,Onshore,Gas Prod Vol (mcf),315282862
06/01/2011,Federal,Offshore,Gas Prod Vol (mcf),156091489
06/01/2011,Federal,Offshore,Oil Prod Vol (bbl),41591064
06/01/2011,Native American,Onshore,Coal Prod Vol (tons),1973047
06/01/2011,Native American,Onshore,Gas Prod Vol (mcf),25338568
06/01/2011,Native American,Onshore,Oil Prod Vol (bbl),1935542
06/01/2011,Federal,Onshore,Coal Prod Vol (tons),33705453
06/01/2011,Federal,Onshore,Oil Prod Vol (bbl),9360601
07/01/2011,Federal,Onshore,Gas Prod Vol (mcf),328450246
07/01/2011,Native American,Onshore,Gas Prod Vol (mcf),26287322
07/01/2011,Native American,Onshore,Oil Prod Vol (bbl),2047914
07/01/2011,Native American,Onshore,Coal Prod Vol (tons),1889907
07/01/2011,Federal,Offshore,Gas Prod Vol (mcf),154107957
07/01/2011,Federal,Offshore,Oil Prod Vol (bbl),39506905
07/01/2011,Federal,Onshore,Coal Prod Vol (tons),32683729
07/01/2011,Federal,Onshore,Oil Prod Vol (bbl),9760890
08/01/2011,Federal,Onshore,Coal Prod Vol (tons),37915804
08/01/2011,Federal,Onshore,Gas Prod Vol (mcf),310809655
08/01/2011,Native American,Onshore,Oil Prod Vol (bbl),2174652
08/01/2011,Native American,Onshore,Coal Prod Vol (tons),1454592
08/01/2011,Native American,Onshore,Gas Prod Vol (mcf),26254896
